"Local_HMD_p_x","Local_HMD_p_y","Local_HMD_p_z","Local_HMD_r_x","Local_HMD_r_y","Local_HMD_r_z","Local_HMD_r_w","Local_Right_p_x","Local_Right_p_y","Local_Right_p_z","Local_Right_r_x","Local_Right_r_y","Local_Right_r_z","Local_Right_r_w","Local_Left_p_x","Local_Left_p_y","Local_Left_p_z","Local_Left_r_x","Local_Left_r_y","Local_Left_r_z","Local_Left_r_w","Local_FingertipR_p_x","Local_FingertipR_p_y","Local_FingertipR_p_z","Local_FingertipR_r_x","Local_FingertipR_r_y","Local_FingertipR_r_z","Local_FingertipR_r_w","Local_FingertipL_p_x","Local_FingertipL_p_y","Local_FingertipL_p_z","Local_FingertipL_r_x","Local_FingertipL_r_y","Local_FingertipL_r_z","Local_FingertipL_r_w","
18:28:50:621","0.07723372","1.236062","0.2287964","0.2924558","0.0750605","0.05092937","-0.9519673","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2471911","0.8200775","0.4907312","-0.990172","0.1077027","0.04090076","-0.07929042","-0.5023567","0.824929","0.5854537","0.6915761","-0.01880919","0.7093654","0.1347958"
18:28:50:649","0.07721288","1.236052","0.2287954","0.292455","0.07504522","0.05096434","-0.9519669","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2473631","0.8200845","0.4905968","-0.9901797","0.1077177","0.04071341","-0.07927009","-0.5026328","0.8249465","0.5853184","0.6914418","-0.01883474","0.7094963","0.1347922"
18:28:50:692","0.07717957","1.236058","0.2287431","0.292475","0.07494882","0.05103397","-0.9519646","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2473402","0.820086","0.4906667","-0.9901752","0.1077093","0.04081863","-0.0792814","-0.5025803","0.8249495","0.5854691","0.6915171","-0.01882042","0.7094227","0.1347941"
18:28:50:726","0.07716279","1.236081","0.2286837","0.2925523","0.0748443","0.05100732","-0.9519506","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2473957","0.8201025","0.4905984","-0.9901765","0.1077111","0.04079358","-0.07927865","-0.5026763","0.8249711","0.5854417","0.6914992","-0.0188238","0.7094403","0.1347936"
18:28:50:753","0.07716245","1.236071","0.2286429","0.2927008","0.07477441","0.05097666","-0.951912","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2474","0.820121","0.4905756","-0.9901782","0.1077146","0.04075187","-0.07927405","-0.5027061","0.8249933","0.5854335","0.6914693","-0.01882946","0.7094696","0.1347929"
18:28:50:787","0.07716615","1.236071","0.2285639","0.2927596","0.07464631","0.05096458","-0.9519046","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2473494","0.8200946","0.4906516","-0.9901753","0.1077086","0.04082601","-0.07928231","-0.5026562","0.8249691","0.5855677","0.6915224","-0.01881939","0.7094176","0.1347943"
18:28:50:814","0.07719253","1.236059","0.2285011","0.2928146","0.07453333","0.05088188","-0.951901","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2473626","0.8200996","0.4905429","-0.9901769","0.1077121","0.04078377","-0.07927769","-0.5027232","0.8249805","0.585494","0.6914922","-0.01882515","0.7094473","0.1347935"
18:28:50:840","0.07720996","1.236038","0.2284635","0.2928968","0.07445122","0.05087719","-0.9518824","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2472978","0.8200842","0.4905233","-0.9901771","0.1077126","0.04077547","-0.07927681","-0.5026865","0.8249677","0.5854949","0.6914864","-0.01882625","0.7094528","0.1347933"
18:28:50:879","0.07723577","1.235984","0.2284066","0.2929636","0.07435691","0.05081109","-0.9518727","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2472754","0.8200687","0.4905113","-0.9901775","0.1077132","0.04076796","-0.07927597","-0.5027006","0.8249553","0.585501","0.6914811","-0.01882721","0.7094581","0.1347931"
18:28:50:916","0.07726663","1.235966","0.228363","0.2928872","0.07419096","0.05084845","-0.9519072","-0.2776076","1.029694","0.5052867","-0.4479709","0.4774296","-0.4746115","-0.5883256","-0.5519512","1.039721","0.6131594","-0.6721009","0.07854471","0.05644837","-0.7341149","-0.2471749","0.8200287","0.4905471","-0.9901727","0.1077037","0.04088788","-0.07928897","-0.5026053","0.8249185","0.5856273","0.6915668","-0.01881104","0.7093743","0.1347955"
